City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sangmelima,CM,2021-07-28 14:31:31,2.9333,11.9833,77.07,69,100,2.37
68,Bud,US,2021-07-28 14:31:31,39.447,-86.1758,80.69,87,55,5.06
69,Treuchtlingen,DE,2021-07-28 14:31:32,48.95,10.9167,72.36,81,92,10.11
70,Morris,US,2021-07-28 14:31:32,40.8334,-74.5329,76.96,73,40,3.0
71,Lehi,US,2021-07-28 14:31:32,40.3916,-111.8508,82.38,52,89,1.01
72,Oksfjord,NO,2021-07-28 14:31:33,70.2396,22.3479,55.47,81,44,7.25
73,Los Llanos De Aridane,ES,2021-07-28 14:31:33,28.6585,-17.9182,73.15,76,75,17.27
74,Salekhard,RU,2021-07-28 14:31:33,66.53,66.6019,48.67,89,100,8.55
75,Weihe,CN,2021-07-28 14:31:34,32.9952,105.3247,65.53,83,78,5.79
76,Hasaki,JP,2021-07-28 14:31:34,35.7333,140.8333,77.4,89,6,21.36
77,Panguna,PG,2021-07-28 14:31:34,-6.3164,155.4848,67.78,96,97,2.33
78,Noumea,NC,2021-07-28 14:31:34,-22.2763,166.4572,69.01,99,48,8.99
79,Carnarvon,AU,2021-07-28 14:31:35,-24.8667,113.6333,60.87,61,40,3.44
80,Port Keats,AU,2021-07-28 14:31:35,-14.25,129.55,72.3,87,16,2.3
81,Victoria,HK,2021-07-28 14:29:34,22.2855,114.1577,87.33,81,31,1.99
82,Puerto Madryn,AR,2021-07-28 14:31:35,-42.7692,-65.0385,45.9,53,16,10.47
83,Great Falls,US,2021-07-28 14:29:15,47.5002,-111.3008,77.41,46,1,3.0
84,Kaitangata,NZ,2021-07-28 14:31:36,-46.2817,169.8464,48.92,76,49,4.68
85,Namibe,AO,2021-07-28 14:31:36,-15.1961,12.1522,71.06,70,2,10.04
86,Georgetown,MY,2021-07-28 14:31:37,5.4112,100.3354,85.95,75,20,1.01
87,Mount Isa,AU,2021-07-28 14:31:37,-20.7333,139.5,58.77,55,6,0.0
88,Drabiv,UA,2021-07-28 14:31:37,49.963,32.1529,85.91,51,30,10.8
89,Chuy,UY,2021-07-28 14:31:38,-33.6971,-53.4616,42.48,92,100,16.22
90,Atuona,PF,2021-07-28 14:31:38,-9.8,-139.0333,77.45,72,81,19.39
91,Hamilton,US,2021-07-28 14:31:29,39.1834,-84.5333,84.24,74,1,1.01
