City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Policarpo,PH,12.1791,125.5072,81.32,79,99,4.88,overcast clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,55,8.9,broken clouds
81,Onega,RU,63.9061,38.1404,53.28,85,30,7.36,scattered clouds
82,Springbok,ZA,-29.6643,17.8865,39.88,94,6,2.93,clear sky
83,Am Timan,TD,11.0297,20.2827,72.48,93,97,3.33,overcast clouds
84,Hatillo,PR,18.4863,-66.8254,84.07,75,9,19.42,clear sky
85,Zachepylivka,UA,49.1939,35.2394,69.71,78,100,4.81,overcast clouds
86,Sitka,US,57.0531,-135.33,66.09,63,20,6.91,few clouds
87,Torbay,CA,47.6666,-52.7314,70.75,93,75,9.22,broken clouds
88,Bainbridge,US,47.6262,-122.5212,92.25,39,1,1.99,clear sky
89,Cockburn Town,TC,21.4612,-71.1419,81.84,79,53,19.42,broken clouds
90,Zhicheng,CN,30.2956,111.5047,77.54,90,86,2.8,light rain
91,Fremont,US,37.5483,-121.9886,100.04,50,40,4.0,scattered clouds
92,Saint George,US,37.1041,-113.5841,100.99,19,1,1.99,clear sky
93,Cabo San Lucas,MX,22.8909,-109.9124,99.81,46,1,11.5,clear sky
94,Innisfail,AU,-17.5333,146.0333,73.87,71,42,3.09,scattered clouds
95,Shache,CN,38.4167,77.2406,81.84,22,8,9.66,clear sky
96,Iqaluit,CA,63.7506,-68.5145,49.73,66,75,11.01,broken clouds
97,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,88,75,7.45,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,75,3.44,broken clouds
99,Acapulco,MX,16.8634,-99.8901,87.62,74,40,2.3,scattered clouds
100,Gornopravdinsk,RU,60.05,69.9,42.4,95,76,5.32,broken clouds
101,Fort Saint James,CA,54.4333,-124.25,75.2,36,94,5.1,overcast clouds
102,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,10.36,clear sky
103,Karla,EE,59.3723,24.9275,66.56,88,20,6.91,few clouds
104,Provideniya,RU,64.3833,-173.3,48.31,87,75,15.66,mist
105,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,0,6.91,clear sky
106,Owando,CG,-0.4819,15.8999,79.61,58,99,3.15,overcast clouds
107,Saskylakh,RU,71.9167,114.0833,65.35,43,98,13.2,overcast clouds
